Image1,Image2,Label
dataset/1923/21.png,dataset/1923/42.png,1
dataset/947/51.png,dataset/716/30.png,0
dataset/345/20.png,dataset/540/52.png,0
dataset/1252/37.png,dataset/1509/70.png,0
dataset/118/71.png,dataset/522/3.png,0
dataset/953/4.png,dataset/941/36.png,0
dataset/1636/31.png,dataset/1813/39.png,0
dataset/1642/46.png,dataset/1090/40.png,0
dataset/438/6.png,dataset/438/5.png,1
dataset/428/30.png,dataset/959/32.png,0
dataset/1115/24.png,dataset/1320/22.png,0
dataset/837/66.png,dataset/837/69.png,1
dataset/1806/67.png,dataset/1806/3.png,1
dataset/1047/30.png,dataset/125/15.png,0
dataset/606/9.png,dataset/606/1.png,1
dataset/1593/51.png,dataset/1882/19.png,0
dataset/1333/52.png,dataset/578/11.png,0
dataset/1168/64.png,dataset/89/2.png,0
dataset/149/28.png,dataset/149/70.png,1
dataset/1383/65.png,dataset/1185/27.png,0
dataset/900/52.png,dataset/1483/26.png,0
dataset/850/53.png,dataset/850/7.png,1
dataset/1840/4.png,dataset/928/57.png,0
dataset/375/31.png,dataset/375/32.png,1
dataset/1301/27.png,dataset/1531/60.png,0
dataset/1954/52.png,dataset/1954/64.png,1
dataset/1295/55.png,dataset/1295/8.png,1
dataset/1403/55.png,dataset/1597/40.png,0
dataset/249/19.png,dataset/588/27.png,0
dataset/914/60.png,dataset/914/1.png,1
dataset/1485/38.png,dataset/1485/56.png,1
dataset/38/27.png,dataset/234/66.png,0
dataset/400/71.png,dataset/1882/44.png,0
dataset/474/26.png,dataset/1456/34.png,0
dataset/1763/59.png,dataset/655/36.png,0
dataset/255/53.png,dataset/255/59.png,1
dataset/415/11.png,dataset/415/54.png,1
dataset/958/20.png,dataset/410/19.png,0
dataset/299/7.png,dataset/327/70.png,0
dataset/630/20.png,dataset/1844/17.png,0
dataset/127/52.png,dataset/1168/18.png,0
dataset/1681/49.png,dataset/1681/43.png,1
dataset/1875/60.png,dataset/59/38.png,0
dataset/362/51.png,dataset/1121/20.png,0
dataset/221/25.png,dataset/791/3.png,0
dataset/1482/20.png,dataset/1482/32.png,1
dataset/240/45.png,dataset/1593/15.png,0
dataset/1043/61.png,dataset/1043/57.png,1
dataset/910/31.png,dataset/1597/29.png,0
dataset/625/5.png,dataset/625/21.png,1
dataset/916/39.png,dataset/916/60.png,1
dataset/1726/9.png,dataset/1726/15.png,1
dataset/691/11.png,dataset/691/26.png,1
dataset/1526/20.png,dataset/1307/34.png,0
dataset/310/54.png,dataset/310/37.png,1
dataset/1079/45.png,dataset/1859/53.png,0
dataset/1778/3.png,dataset/1778/47.png,1
dataset/1243/20.png,dataset/139/41.png,0
dataset/223/51.png,dataset/562/62.png,0
dataset/1366/0.png,dataset/121/59.png,0
dataset/1144/62.png,dataset/1144/63.png,1
dataset/1292/54.png,dataset/1319/3.png,0
dataset/1842/28.png,dataset/1842/42.png,1
dataset/629/58.png,dataset/629/38.png,1
dataset/880/49.png,dataset/654/54.png,0
dataset/1812/55.png,dataset/207/33.png,0
dataset/1526/64.png,dataset/1526/41.png,1
dataset/456/56.png,dataset/456/24.png,1
dataset/1071/47.png,dataset/1071/0.png,1
dataset/1794/14.png,dataset/1794/18.png,1
dataset/322/9.png,dataset/322/67.png,1
dataset/34/21.png,dataset/1779/1.png,0
dataset/88/7.png,dataset/1237/8.png,0
dataset/66/70.png,dataset/66/68.png,1
dataset/1208/56.png,dataset/1208/68.png,1
dataset/716/23.png,dataset/716/36.png,1
dataset/1331/54.png,dataset/634/6.png,0
dataset/1137/0.png,dataset/10/60.png,0
dataset/690/16.png,dataset/1463/44.png,0
dataset/1258/62.png,dataset/671/67.png,0
dataset/544/60.png,dataset/1614/71.png,0
dataset/1819/6.png,dataset/1631/6.png,0
dataset/1114/37.png,dataset/224/21.png,0
dataset/853/48.png,dataset/853/21.png,1
dataset/1567/17.png,dataset/1567/8.png,1
dataset/530/11.png,dataset/530/41.png,1
dataset/1080/50.png,dataset/521/56.png,0
dataset/324/50.png,dataset/324/63.png,1
dataset/1268/67.png,dataset/1268/42.png,1
dataset/181/31.png,dataset/181/44.png,1
dataset/238/56.png,dataset/719/50.png,0
dataset/587/52.png,dataset/193/3.png,0
dataset/110/60.png,dataset/1268/25.png,0
dataset/1857/71.png,dataset/1857/66.png,1
dataset/1079/26.png,dataset/1079/12.png,1
dataset/775/1.png,dataset/611/23.png,0
dataset/1565/44.png,dataset/1565/9.png,1
dataset/390/60.png,dataset/1306/37.png,0
dataset/106/49.png,dataset/642/23.png,0
dataset/1050/13.png,dataset/1050/0.png,1
dataset/1090/2.png,dataset/1678/48.png,0
dataset/949/15.png,dataset/949/33.png,1
dataset/232/18.png,dataset/232/2.png,1
dataset/177/26.png,dataset/177/47.png,1
dataset/1224/65.png,dataset/1224/41.png,1
dataset/338/18.png,dataset/338/51.png,1
dataset/1913/29.png,dataset/129/65.png,0
dataset/1609/57.png,dataset/1609/59.png,1
dataset/1417/42.png,dataset/1417/57.png,1
dataset/363/13.png,dataset/363/38.png,1
dataset/763/31.png,dataset/1960/42.png,0
dataset/1884/42.png,dataset/1884/9.png,1
dataset/1490/61.png,dataset/1490/70.png,1
dataset/1089/33.png,dataset/1089/17.png,1
dataset/265/6.png,dataset/265/60.png,1
dataset/1014/21.png,dataset/1262/61.png,0
dataset/433/52.png,dataset/238/69.png,0
dataset/1953/12.png,dataset/401/35.png,0
dataset/1976/44.png,dataset/1976/9.png,1
dataset/1302/69.png,dataset/1603/67.png,0
dataset/1151/38.png,dataset/1151/58.png,1
dataset/72/40.png,dataset/72/39.png,1
dataset/256/10.png,dataset/256/54.png,1
dataset/1246/65.png,dataset/1204/47.png,0
dataset/1521/2.png,dataset/363/64.png,0
dataset/923/24.png,dataset/175/68.png,0
dataset/44/62.png,dataset/1824/56.png,0
dataset/694/34.png,dataset/694/10.png,1
dataset/633/3.png,dataset/238/26.png,0
dataset/1837/20.png,dataset/1837/32.png,1
dataset/1827/26.png,dataset/619/16.png,0
dataset/1432/40.png,dataset/736/43.png,0
dataset/1068/42.png,dataset/85/9.png,0
dataset/318/12.png,dataset/1672/42.png,0
dataset/656/41.png,dataset/1260/58.png,0
dataset/172/0.png,dataset/197/26.png,0
dataset/780/44.png,dataset/71/68.png,0
dataset/167/23.png,dataset/250/8.png,0
dataset/767/27.png,dataset/767/61.png,1
dataset/1461/12.png,dataset/670/16.png,0
dataset/1904/52.png,dataset/1904/18.png,1
dataset/1695/17.png,dataset/1695/47.png,1
dataset/652/60.png,dataset/652/39.png,1
dataset/326/17.png,dataset/1967/29.png,0
dataset/1766/70.png,dataset/112/24.png,0
dataset/248/25.png,dataset/243/62.png,0
dataset/698/62.png,dataset/698/41.png,1
dataset/1494/67.png,dataset/1005/23.png,0
dataset/421/56.png,dataset/421/71.png,1
dataset/1860/0.png,dataset/1860/39.png,1
dataset/1702/21.png,dataset/1702/43.png,1
dataset/147/60.png,dataset/147/24.png,1
dataset/1819/29.png,dataset/1819/19.png,1
dataset/333/46.png,dataset/976/0.png,0
dataset/1152/10.png,dataset/1152/65.png,1
dataset/1796/8.png,dataset/931/50.png,0
dataset/1298/10.png,dataset/1435/25.png,0
dataset/1332/7.png,dataset/1332/1.png,1
dataset/1359/18.png,dataset/1359/4.png,1
dataset/621/59.png,dataset/1921/55.png,0
dataset/1685/36.png,dataset/1865/18.png,0
dataset/1414/2.png,dataset/1735/34.png,0
dataset/1253/1.png,dataset/1253/60.png,1
dataset/845/47.png,dataset/1838/4.png,0
dataset/1708/61.png,dataset/1708/68.png,1
dataset/827/12.png,dataset/141/63.png,0
dataset/938/42.png,dataset/593/31.png,0
dataset/303/29.png,dataset/1458/11.png,0
dataset/749/53.png,dataset/749/21.png,1
dataset/272/40.png,dataset/852/25.png,0
dataset/1000/15.png,dataset/1000/71.png,1
dataset/1513/28.png,dataset/47/34.png,0
dataset/1018/21.png,dataset/1018/66.png,1
dataset/446/63.png,dataset/1584/16.png,0
dataset/616/6.png,dataset/817/24.png,0
dataset/1278/37.png,dataset/1894/57.png,0
dataset/1067/16.png,dataset/1067/40.png,1
dataset/1554/8.png,dataset/1554/4.png,1
dataset/1472/43.png,dataset/1472/27.png,1
dataset/292/35.png,dataset/1405/38.png,0
dataset/36/26.png,dataset/234/47.png,0
dataset/761/8.png,dataset/761/38.png,1
dataset/981/65.png,dataset/981/12.png,1
dataset/748/37.png,dataset/1866/45.png,0
dataset/788/4.png,dataset/1688/53.png,0
dataset/1971/56.png,dataset/1703/12.png,0
